zip,city,state,latitude,longitude
43103,ASHVILLE,OH,39.722114412,-82.95583518
43105,BALTIMORE,OH,39.862187006,-82.62524944
43106,BLOOMINGBURG,OH,39.630210459,-83.40714737
43107,BREMEN,OH,39.696589757,-82.41880887
43110,CANAL WINCHESTER,OH,39.866846182,-82.8155462
43112,CARROLL,OH,39.794255253,-82.71184621
43113,CIRCLEVILLE,OH,39.601538506,-82.93185528
43115,CLARKSBURG,OH,39.489172301,-83.15118732
43116,COMMERCIAL POINT,OH,39.774359536,-83.06016356
43119,GALLOWAY,OH,39.941319387,-83.17089132
43123,GROVE CITY,OH,39.879097339,-83.08016347
43125,GROVEPORT,OH,39.867599713,-82.88998655
43128,JEFFERSONVILLE,OH,39.657253979,-83.56904424
43130,LANCASTER,OH,39.721574039,-82.60673092
43135,LAURELVILLE,OH,39.475872343,-82.71060498
43136,LITHOPOLIS,OH,39.80770813,-82.81682965
43137,LOCKBOURNE,OH,39.813180369,-82.98596884
43138,LOGAN,OH,39.536317591,-82.41057204
43140,LONDON,OH,39.904435396,-83.43319383
43143,MOUNT STERLING,OH,39.715118204,-83.27442956
43145,NEW HOLLAND,OH,39.559108637,-83.26445637
43146,ORIENT,OH,39.78936994,-83.12070704
43147,PICKERINGTON,OH,39.902150863,-82.76244538
43148,PLEASANTVILLE,OH,39.821415803,-82.50692677
43149,ROCKBRIDGE,OH,39.546816399,-82.56830541
43150,RUSHVILLE,OH,39.772829726,-82.41038156
43152,SOUTH BLOOMINGVILLE,OH,39.393014995,-82.62189017
43153,SOUTH SOLON,OH,39.735009858,-83.57213454
43154,STOUTSVILLE,OH,39.602762609,-82.82607718
43155,SUGAR GROVE,OH,39.628926274,-82.5280321
43160,WASHINGTON COURT HOUSE,OH,39.535415268,-83.4367924
43162,WEST JEFFERSON,OH,39.941721998,-83.2883021
43164,WILLIAMSPORT,OH,39.59920981,-83.12363034
43201,COLUMBUS,OH,39.993150026,-83.00501333
43202,COLUMBUS,OH,40.020492595,-83.01288968
43203,COLUMBUS,OH,39.971292111,-82.9687397
43204,COLUMBUS,OH,39.95674191,-83.07950828
43205,COLUMBUS,OH,39.958337727,-82.964783
43206,COLUMBUS,OH,39.943400255,-82.97844147
43207,COLUMBUS,OH,39.900234842,-82.96768486
43209,COLUMBUS,OH,39.955945156,-82.92739456
